file,class,technique,expected_detection,rationale,cve
corpus/benign/benign_dict.pkl,benign,none,no_alert,"Plain data object, no GLOBAL/REDUCE opcodes tied to a callable. A scanner flagging this file is a false positive.",
corpus/benign/benign_list_of_tuples.pkl,benign,none,no_alert,"Plain data object, no GLOBAL/REDUCE opcodes tied to a callable. A scanner flagging this file is a false positive.",
corpus/benign/benign_nested.pkl,benign,none,no_alert,"Plain data object, no GLOBAL/REDUCE opcodes tied to a callable. A scanner flagging this file is a false positive.",
corpus/benign/benign_numbers.pkl,benign,none,no_alert,"Plain data object, no GLOBAL/REDUCE opcodes tied to a callable. A scanner flagging this file is a false positive.",
corpus/benign/benign_strings.pkl,benign,none,no_alert,"Plain data object, no GLOBAL/REDUCE opcodes tied to a callable. A scanner flagging this file is a false positive.",
corpus/benign/benign_empty.pkl,benign,none,no_alert,"Plain data object, no GLOBAL/REDUCE opcodes tied to a callable. A scanner flagging this file is a false positive.",
corpus/poc_overt/poc_overt_reduce.pkl,poc_overt,plain_reduce,alert,"GLOBAL opcode names corpus_gen.marker.write_marker directly, followed by REDUCE. No obfuscation, no evasion attempted. Any scanner checking for GLOBAL+REDUCE against a non-stdlib callable should catch this.",
corpus/poc_overt/poc_overt_stdlib_global.pkl,poc_overt,stdlib_global_reduce,alert,"GLOBAL opcode into os.path.join (stdlib, not on a typical denylist) followed by REDUCE. Tests whether a scanner flags any non-builtin callable invocation, or only a fixed denylist of known-dangerous names.",
corpus/poc_evasive/cve_2025_10155_extension_mismatch.bin,poc_evasive,extension_mismatch,"alert_if_patched,miss_if_vulnerable","Reproduces CVE-2025-10155 (NVD, CVSS 9.3): a plain pickle stream given a .bin extension. picklescan <=0.0.30 routed .bin/.pt files into PyTorch-container parsing that failed silently on a non-container pickle, skipping the scan entirely. Fixed in picklescan 0.0.31. The pickle content is byte-identical in mechanism to poc_overt_reduce.pkl; only the file extension differs.",CVE-2025-10155
corpus/poc_evasive/cve_2025_10157_submodule_import.pkl,poc_evasive,submodule_import,"alert_if_patched,miss_if_vulnerable","Reproduces CVE-2025-10157 (NVD, CVSS 9.3): picklescan <=0.0.30's unsafe-globals check used exact module-name matching, so a GLOBAL opcode into a submodule of a denylisted module (the disclosed example: asyncio.unix_events instead of asyncio) was scored suspicious rather than dangerous and passed. Reproduced with a self-authored submodule (corpus_gen.marker.submodule) standing in for the denylisted-module shape; the resolved callable is the same inert marker writer used throughout this corpus. Fixed in picklescan 0.0.31.",CVE-2025-10157
